nome_prodotto,marca,descrizione,immagine,url
FITT Blutech,FITT,Il tubo in PVC per il trasporto di fluidi in pressione Scarica BIM,https://fitt-cdn.thron.com/delivery/public/image/fitt/506a7c97-48ea-4560-a930-65afa7671a15/pf4brg/std/1000x1000/FITT%20Blutech.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_blutech/
FITT Agroflex UV-R Superelastic,FITT,Flessibile e resistente FITT Agroflex UV-R Superelastic è il tubo ideale per essere installato su macchinari agricoli per la fertilizzazione. Liscio internamente ed esternamente.,https://fitt-cdn.thron.com/delivery/public/image/fitt/433b91fe-3026-4229-9c46-c6c31d316e5d/pf4brg/std/1000x1000/FITT_Agroflex_Xtreme?scalemode=centered&format=auto,https://www.fitt.com/it/product/fitt_agroflex_uvr_superelastic/
FITT Agroflex Multipurpose MDS,FITT,"Flessibile e resistente FITT AGROFLEX MULTIPURPOSE MDS è il tubo ideale per l'aspirazione di liquidi mediante pompe. Adatto per l'uso nell'agricoltura e nella cantieristica edile per l'aspirazione da fossati, lo svuotamento di scavi e cantine, e il trasporto di liquidi. Può essere installato sia su stazioni fisse che su automezzi mobili.",https://fitt-cdn.thron.com/delivery/public/image/fitt/cf7ffc08-7a58-4d84-8b0c-02d1a7b91cca/pf4brg/std/1000x1000/FITT_Agroflex_Multipurpose_MDS_Hose?scalemode=centered&format=auto,https://www.fitt.com/it/product/fitt_agroflex_multipurpose_mds/
FITT Sewer ICE,FITT,La soluzione tecnica adatta a soddisfare tutte le esigenze applicative dei sistemi di fognatura a gravità e in pressione per il trasporto di liquidi.,https://fitt-cdn.thron.com/delivery/public/image/fitt/656a046d-5692-416e-99a2-7dff456f37f6/pf4brg/std/1000x1000/FITT_Sewer_ICE_Render?scalemode=centered&format=auto,https://www.fitt.com/it/product/fitt_sewer_ice/
FITT Stiltek Food,FITT,"Certificato per i liquidi alimentari con tenore alcolico fino a 50% vol, FITT Stiltek Food è un tubo unico con doppio rinforzo realizzato per resistere ad alte pressioni in mandata e al vuoto nella fase di aspirazione",https://fitt-cdn.thron.com/delivery/public/image/fitt/0fcb8bee-c76a-4bea-9956-b5e7b17de53c/xhlovn/std/1000x1000/fitt-stiltek-food-render,https://www.fitt.com/it/product/fitt_stiltek_food/
FITT Goldtek,FITT,"Dotato di una buona flessibilità alle basse temperature e di una buona resistenza alla pressione, FITT Goldtek è ideale per un uso prolungato.",https://fitt-cdn.thron.com/delivery/public/image/fitt/98aaa611-4f0d-48bc-bf64-99daea11321e/pf4brg/std/1000x1000/FITT_Goldetk_render?scalemode=centered&format=auto,https://www.fitt.com/it/product/fitt_goldtek/
FITT Goldtek Pro,FITT,"Estremamente flessibile alle basse temperature, FITT Goldtek Pro è un tubo robusto e con portata elevata. È adatto per usi prolungati e gravosi in ambienti industriali. Particolarmente resistente alla pressione e alla dilatazione al passaggio dell'acqua, grazie alla doppia magliatura NTS PLUS, che garantisce stabilità dimensionale al tubo.",https://fitt-cdn.thron.com/api/v1/content-delivery/shares/pf4brg/contents/9a93a669-19b7-43e7-aa43-34aaf3d923dd/image/FITT_Goldetk_Pro_render?w=1000&h=1000&crop=auto&q_auto=high,https://www.fitt.com/it/product/fitt_goldtek_pro/
FITT Refittex Cristallo Plus,FITT,"Adatto anche per utilizzo in agricoltura, negli impianti di produzione industriale e con aria compressa. FITT Refittex Cristallo Plus è certificato per il passaggio di sostanze alimentari, con tenore alcolico fino a 50% vol.",https://fitt-cdn.thron.com/delivery/public/image/fitt/366eb13d-da23-4752-8ccc-ce96d8a905ba/pf4brg/std/1000x1000/FITT_Refittex_Cristallo_Plus?scalemode=centered&format=auto,https://www.fitt.com/it/product/fitt_refittex_cristallo_plus/
FITT Foglia Verde EVO,FITT,"FITT Foglia Verde EVO è il film da copertura in polietilene rigenerato di qualità idoneo per uso professionale ed hobbistico. Grazie all'introduzione di materiale post industriale, l'evoluzione della Foglia Verde standard, oltre a mantenere intatte le sue performance, è in grado di garantire una riduzione delle emissioni di CO2e del 35%. Lo spessore di 0,12 mm, più ridotto rispetto ai 0,20 mm degli altri film in commercio, consente di ottenere - a parità di peso - una superficie superiore dell’80% rispetto alle foglie comuni con un evidente risparmio. Basso spessore significa anche minor impiego di materia prima e - di conseguenza - un ridotto impatto ambientale nell’utilizzo di materia prima e nello smaltimento post-consumo.",https://fitt-cdn.thron.com/delivery/public/image/fitt/c6b4adc1-a7bc-4d3d-829b-9c8071d4e620/pf4brg/std/1000x1000/FITT_Foglie_verde_EVO_box_zoom.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_foglia_verde_evo/
FITT Revix,FITT,"Fitt Revix è il primo tubo per piscina interrata che impiega il 30% di materiale riciclato post industriale e garantisce allo stesso tempo resistenza, sicurezza e flessibilità.",https://fitt-cdn.thron.com/delivery/public/image/fitt/94a5294d-e7c9-41c3-a3a6-3aa270586b43/pf4brg/std/1000x1000/FITT_Revix_Coreshield?scalemode=centered&format=auto,https://www.fitt.com/it/product/fitt_revix/
FITT Venflex PU HD,FITT,"Altamente resistente all’abrasione, FITT Venflex PU HD è ideale per essere installato su macchinari agricoli e seminatrici. Adatto per la semina grazie al PU che lo rende resistente al passaggio di granaglie. Il PU base etere lo rende resistente all’effetto dell’idrolisi.",https://fitt-cdn.thron.com/delivery/public/image/fitt/2833aa9f-5e6c-43ee-b68b-1d8a264befaf/pf4brg/std/1000x1000/FITT_Venflex_PU_HD.jpg,https://www.fitt.com/it/product/fitt_venflexpuhd/
FITT Freel,FITT,"FITT Freel è la soluzione di FITT pensata per rendere disponibili in un'unica combinazione l'avvolgitubo, pronto ad essere connesso al rubinetto, e l'innovativo tubo compatto e leggero FITT Force. Vai al sito dedicato",https://fitt-cdn.thron.com/delivery/public/image/fitt/6c9c9f42-9b68-4da8-9ad5-f60f19777d70/pf4brg/std/1000x0/FITT-Freel-01.jpg,https://www.fitt.com/it/product/fitt_freel/
FITT NTS Eco,FITT,"FITT NTS Eco festeggia i 25 anni dall'introduzione della tecnologia No Torsion System - l'originale by FITT - ed è il primo NTS che impiega materiali innovativi, in grado di garantire maggiore malleabilità, elasticità e resistenza alle temperature estreme, a fronte di un minor impiego di materia prima. Vai al sito dedicato",https://fitt-cdn.thron.com/delivery/public/image/fitt/0d4f8029-8c91-43d7-b969-36db224a9da5/pf4brg/std/1000x0/FITT-NTS-Eco-pack-25m.jpg,https://www.fitt.com/it/product/fitt_ntseco/
FITT Refittex Ergon,FITT,"Dotato di ottima resistenza alla pressione e agli agenti atmosferici, FITT Refittex Ergon è ideale per l'utensileria pneumatica, pompaggio e compressione. Adatto alla raccordatura.",https://fitt-cdn.thron.com/delivery/public/image/fitt/e21c3f98-c683-497c-8b9f-c6bdad23c422/pf4brg/std/1000x1000/FITT-Refittex-Ergon.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_refittex_ergon/
FITT refittex 20bar Ultraflex,FITT,"Altamente flessibile anche a basse temperature, FITT Refittex 20 bar Ultraflex è ideale per compressori fino a pressioni di 20bar.",https://fitt-cdn.thron.com/delivery/public/image/fitt/ad470fc8-a306-4aec-9e66-b7005a8eee39/pf4brg/std/1000x1000/FITT-Reffitex-20-bar-Ultraflex.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_refittex_20bar_ultraflex/
FITT Refittex PU 20Bar,FITT,"Utilizzabile con pistole per verniciatura, aria compressa, aerografi, utensileria pneumatica in genere, FITT Refittex PU 20bar è ideale per gli avvolgitori automatici per aria compresa comunemente in uso nell'industria e nelle officine.",https://fitt-cdn.thron.com/delivery/public/image/fitt/9f877f51-656e-4948-9ab5-74d18b403921/pf4brg/std/1000x1000/FITT-Reffitex-PU-20-bar.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_refittex_pu_20bar/
FITT Refittex 20Bar C,FITT,"Ideale per sprayer, FITT Refittex 20 bar è adatto per il passaggio di soluzioni anticrittogamiche, pesticidi e fertilizzanti e per irrorazione con media pressione. Adeguato anche per i compressori.",https://fitt-cdn.thron.com/delivery/public/image/fitt/18e25c2a-935b-4f39-975d-f3c9953d277f/pf4brg/std/1000x1000/FITT-Refittex-20-bar-C.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_refittex_20bar_c/
FITT Rollcable Grey,FITT,"Rollcable Grey è un tubo corrugato per cavidotto a doppia parete in HDPE di colore grigio esternamente e nero internamente. Rollcable Grey è certificato ""Plastica Seconda Vita"" ed è conforme alla normativa CEI EN 61386-24 (ex CEI EN 50086-2-4/A1-CEI 23-46;V1).",https://fitt-cdn.thron.com/delivery/public/image/fitt/3626691d-d41b-4857-ac68-795dad217784/pf4brg/std/1000x1000/FITT-Rollcable-Grey?scalemode=centered&format=auto,https://www.fitt.com/it/product/fitt_rollcablegrey/
FITT Idro Green,FITT,"Tubo passaggio Acqua per Irrigazione da Giardino, per Uso Hobbistico leggero e poco impegnativo.",https://fitt-cdn.thron.com/delivery/public/image/fitt/ff36fa17-e439-49af-8210-6702d06d1327/pf4brg/std/1000x0/Idro%20Green%20Render.jpg,https://www.fitt.com/it/product/fitt_idrogreen/
FITT Idro Yellow,FITT,"Tubo passaggio Acqua per Irrigazione da Giardino, per Uso Hobbistico leggero e poco impegnativo.",https://fitt-cdn.thron.com/delivery/public/image/fitt/f5dc25eb-9d7e-4ad7-ae98-a1645a733d2e/pf4brg/std/1000x0/Idro-Yellow-Render.jpg,https://www.fitt.com/it/product/fitt_idroyellow/
FITT Refittex White,FITT,,https://fitt-cdn.thron.com/delivery/public/image/fitt/62f08be2-42b0-4a96-adee-a2dfae397301/pf4brg/std/1000x1000/FITT-Refittex-White.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_refittex-white/
FITT REFITTEX GAS EN 1327,FITT,"Conforme alla norma, FITT Refittex Gas EN 1327 è flessibile e resistente alle abrasioni esterne. Adatto per cannelli ossigeno-gas combustibile e aria gas combustibile (GPL/MPS).",https://fitt-cdn.thron.com/delivery/public/image/fitt/0aeb6594-c945-451b-a126-e75cfa0dd7d8/pf4brg/std/1000x1000/FITT%20Refittex%20Gas%20EN%201327.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_refittex_gas_en-1327/
FITT Refittex Gas GPL UNI 7140,FITT,"Conforme alla norma, FITT Refittex Gas GPL UNI 7140 è flessibile e resistente alle abrasioni esterne. Adatto per apparecchi alimentati con gas combustibili appartenenti alla famiglia I, II, III e per l'allacciamento delle bombole GPL. Ideale per apparecchiature domestiche, fornelli, lampade a gas e radiatori da esterno.",https://fitt-cdn.thron.com/delivery/public/image/fitt/75e649b6-ed96-4053-8ac7-3a85682a0461/pf4brg/std/1000x1000/FITT%20Refittex%20Gas%20GPL.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_refittex_gas_gpl/
FITT Refittex Gas Metano UNI 7140,FITT,"Conforme alla norma, FITT Refittex Gas Metano UNI 7140 è flessibile e adatto per l'installazione in fornelli a gas. Ideale per apparecchi alimentati con gas combustibili appartenenti alla famiglia I, II e III .",https://fitt-cdn.thron.com/delivery/public/image/fitt/0c5a9140-f6e3-40ff-8903-4cb5168d0a0f/pf4brg/std/1000x1000/FITT%20Refittex%20Gas%20metano.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_refittex_gas_metano/
FITT Extra White,FITT,Disponibile anche nella versione trasparente.,https://fitt-cdn.thron.com/delivery/public/image/fitt/748c7ab8-90bf-41b0-b2a8-785c85bb27cc/pf4brg/std/1000x1000/FITT%20Extra%20White.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_extra-white/
FITT Refittex Cristallo C,FITT,"Conforme al Regolamento Europeo 10/2011 per il passaggio dei liquidi alimentari, FITT Refittex Cristallo C è anche ideale per il passaggio di aria compressa.",https://fitt-cdn.thron.com/delivery/public/image/fitt/85b73feb-bf61-44b8-b104-72e61221d634/pf4brg/std/1000x1000/FITT%20Refittex%20Cristallo%20C.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_refittex_cristallo_c/
FITT refittex gas EN 16436,FITT,"Conforme alla norma, FITT Refittex Gas EN 16436 è flessibile e resistente alle abrasioni esterne, per utilizzo con propano, butano commerciale e loro miscele. Adatto anche per lampade a gas e radiatori da esterno.",https://fitt-cdn.thron.com/delivery/public/image/fitt/40263469-d698-40bc-99d4-914cb0ad6fa0/pf4brg/std/1000x1000/FITT_Refittex_Gas_EN_16436-1?scalemode=centered&format=auto,https://www.fitt.com/it/product/fitt_refittex_gas_en-16436-1/
FITT Rain G165: sistema grondaia facile da assemblare,FITT,,,https://www.fitt.com/it/fitt-rain-g165/
FITT Rain G80: sistema grondaia facile da assemblare,FITT,,,https://www.fitt.com/it/fitt-rain-g80/
FITT Aquarium,FITT,"Ideale per la connessione di filtri esterni o pompe per il ricircolo dell'acqua, FITT Aquarium è adatto anche per svuotare e rimpiere l'acquario durante la pulizia.",https://fitt-cdn.thron.com/delivery/public/image/fitt/7071fea0-8284-4cf4-8d0e-ad4bc67714bf/pf4brg/std/1000x1000/FITT%20Aquarium.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_aquarium/
FITT Force Carbon Neutral,FITT,"FITT Force è un tubo da giardino leggero, compatto ed estremamente resistente per usi intensivi in grandi orti, giardini estesi e superfici abrasive con alto rischio di foratura. Vai al sito dedicato",https://fitt-cdn.thron.com/delivery/public/image/fitt/ce12c2cc-ec0a-4377-a725-50399602f4b2/pf4brg/std/1000x0/FITT-Force-Carbon-Neutral.jpg,https://www.fitt.com/it/product/fitt_force_carbon_neutral/
FITT Rain C140: sistema grondaia facile da assemblare,FITT,,,https://www.fitt.com/it/fitt-rain-c140/
FITT Rain G125: sistema grondaia facile da assemblare,FITT,,,https://www.fitt.com/it/fitt-rain-g125/
FITT Rollcom,FITT,Rollcom è un tubo per telecomunicazioni corrugato a doppia parete HDPE di colore blu esternamente ed internamente realizzato per la protezione di cavi elettrici (bassa tensione) e telefonici.,https://fitt-cdn.thron.com/delivery/public/image/fitt/02cdb155-18e7-45bf-bb9a-33f60c6bf5bc/pf4brg/std/1000x1000/FITT-Rollcom.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_rollcom/
FITT Agix,FITT,"La qualità dell’aria negli ambienti interni è fondamentale per la salute ed il benessere delle persone: nei Paesi sviluppati la popolazione passa infatti il 90% del proprio tempo in ambienti indoor. L’aria indoor può essere più inquinata rispetto a quella outdoor perché agli inquinanti esterni, che vengono intrappolati e accumulati, si aggiungono gli inquinanti chimici propri delle abitazioni e i contaminanti biologici generati dall’uomo. Per questi motivi FITT ha sviluppato FITT Agix®, il primo sistema di distribuzione e diffusione VMC certificato da Kiwa secondo la norma europea EN 17192:2019. Di recente introduzione, la norma europea EN 17192 è la prima dedicata alle condotte non metalliche per la ventilazione negli edifici residenziali e ridisegna l’approccio all’intero sistema di distribuzione, Vai al sito dedicato",https://fitt-cdn.thron.com/delivery/public/image/fitt/99ecbbc5-d3af-44d7-95d9-6d11a7703c58/pf4brg/std/1000x1000/FITT-Agix.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_agix/
FITT Bluforce RJ,FITT,L’innovativo sistema di tubazioni in lega polimerica antisfilamento PVC-A (PVC-HI)* di ultima generazione completo delle nuove curve ad ampio raggio. Scarica BIMVai al sito dedicatovedi l'app,https://fitt-cdn.thron.com/delivery/public/image/fitt/4282dd51-6798-48eb-93e7-8b4b93671862/pf4brg/std/1000x1000/FITT%20Bluforce%20RJ.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_bluforce_rj/
FITT Red,FITT,"Tubo in PVC rigido spessorato, bicchiere ad incollaggio, per scarichi civili ed industriali a bassa temperatura.",https://fitt-cdn.thron.com/delivery/public/image/fitt/4600b9db-1dd0-4e80-b9a8-b8d4fd676d08/pf4brg/std/1000x1000/FITT-Red.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_red/
FITT Revolution,FITT,Tubo in PVC rigido a parete compatta SN2 per scarichi all’interno dei fabbricati testato IIP antifiamma Euroclasse E secondo la norma EN 13501 e conforme al D.M. n. 174 del 06/04/2004 e al D.M. del 21/03/1973.,https://fitt-cdn.thron.com/delivery/public/image/fitt/80681dd5-d0de-4fbc-ab92-59ed5bb6063d/pf4brg/std/1000x1000/FITT-Revolution.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_revolution/
FITT Rolldrain,FITT,Rolldrain è un tubo per drenaggio corrugato a doppia parete fessurato in HDPE di colore verde esternamente e nero internamente dedicato al drenaggio di terreni agricoli e per uso civile.,https://fitt-cdn.thron.com/delivery/public/image/fitt/a10300fc-4284-4c25-9171-3f961d6dae43/pf4brg/std/1000x1000/FITT-Rolldrain.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_rolldrain/
FITT Yoyo Up,FITT,Vai al sito dedicato,https://fitt-cdn.thron.com/delivery/public/image/fitt/317478c6-ab73-4225-beec-cb431d13e9b8/pf4brg/std/1920x0/8011963769790,https://www.fitt.com/it/product/fitt_yoyo_up/
FITT Drain,FITT,"Tubo in PVC rigido a norma UNI EN 1329, bicchiere ad incollaggio, per scarichi civili e industriali a bassa ed alta temperatura. Scarica BIM",https://fitt-cdn.thron.com/delivery/public/image/fitt/f515fb93-89ea-4e35-a8eb-37a2463f7077/pf4brg/std/1000x1000/FITT-Drain.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_drain/
FITT Sewer EVO,FITT,"Performance elevate garantite dal sistema di giunzione integrato al tubo e conformità alle specifiche tecniche previste dai Criteri Ambientali Minimi (CAM), regolamentati dal D.M. 256 del 23.06.22 (CAM Edilizia) e dal D.M. 279 del 05.08.2024 (CAM Strade). Scarica BIM",https://fitt-cdn.thron.com/delivery/public/image/fitt/2e39adab-2485-499f-9544-69cc70db5413/pf4brg/std/1000x1000/FITT%20Sewer%20Evo.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_sewer_evo/
FITT Flat HD,FITT,"Ideale per gli sprinkler, FITT Flet HD è adatto per l'irrigazione e per il passaggio di acqua in pressione. Vai al sito dedicato",https://fitt-cdn.thron.com/delivery/public/image/fitt/0e84a06b-4f1e-4a57-a02f-afa702a31b9d/pf4brg/std/1000x1000/FITT%20Flat%20HD%20.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_flat_hd_dn/
FITT Flat LD,FITT,"Ideale per mandata di sistemi goccia a goccia, FITT Flat LD è adatto per il passaggio di fluidi in bassa pressione.",https://fitt-cdn.thron.com/delivery/public/image/fitt/bb7665d5-6f7b-471c-8b63-dd2a67bcb571/pf4brg/std/1000x1000/FITT%20Flat%20LD%20.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_flat_ld_dn/
FITT NTS Yellow Kit,FITT,"Tubo di colore giallo brillante per Irrigazione da Giardino, Robusto e Malleabile, per Uso Intensivo, con Lancia Regolabile e Raccordi, con Tecnologie NTS e SKY TECH.",https://fitt-cdn.thron.com/delivery/public/image/fitt/667967ff-7404-4fae-bd44-9827753945d8/pf4brg/std/1000x0/FITT%20NTS%20Yellow%20Render.jpg,https://www.fitt.com/it/product/fitt_ntsyellow_kit/
FITT Oilflex,FITT,"Realizzato con una speciale formulazione resistente agli oli, FITT Oilflex è ideale per il travaso di oli e carburanti da autocisterne e serbatoi di stoccaggio.",https://fitt-cdn.thron.com/delivery/public/image/fitt/5f2565fa-c47f-4d38-95b0-3c27051713e8/pf4brg/std/1000x1000/FITT%20Oilflex%20.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_oilflex/
FITT Pure,FITT,"Certificato presso il laboratorio tedesco Kiwa GmbH, FITT Pure rispetta le più stringenti normative tedesche ed europee per l'acqua potabile e l’industria alimentare. Adatto anche per essere installato nelle spillatrici di birrerie, manifestazioni ed eventi. Tubo atossico e con brevetto plasticizer free, estremamente flessibile e resistente.",https://fitt-cdn.thron.com/delivery/public/image/fitt/fc7fc356-8321-4eb8-9c31-ccfd19eab573/pf4brg/std/1000x1000/FITT%20Pure.jpg?scalemode=centered,https://www.fitt.com/it/product/fitt_pure/
FITT Yoyo Go,FITT,Vai al sito dedicato,https://fitt-cdn.thron.com/delivery/public/image/fitt/be4decaa-ffd4-4656-8f46-88264a918519/pf4brg/std/1920x0/8011963769752,https://www.fitt.com/it/product/fitt_yoyo_go/
FITT NTS Water,FITT,"Tubo di colore grigio, per Irrigazioni prolungate in Giardino, idoneo per uso frequente ed intensivo in agricolture o nel florovivaismo, Molto Robusto e Flessibile anche a temperature rigide, per un Uso Professionale ma anche per il Fai da Te intenso e robusto, con Tecnologie NTS e SKY TECH.",https://fitt-cdn.thron.com/delivery/public/image/fitt/645eb49e-2c9f-4b2d-a675-f51e6aa8a27e/pf4brg/std/1000x0/FITT-NTS-Water-Render.jpg,https://www.fitt.com/it/product/fitt_ntswater/
FITT NTS Work,FITT,"Tubo di colore arancio intenso ad alta visibilità, per passaggio acqua nei Cantieri Edili, Molto Robusto e Flessibile anche a temperature rigide, per un Uso Professionale ma anche per il Fai da Te intenso e robusto, con Tecnologie NTS e SKY TECH Vai al sito dedicato",https://fitt-cdn.thron.com/delivery/public/image/fitt/ba2b8fdc-4c99-4727-a478-964cd30c7513/pf4brg/std/1000x0/FITT%20NTS%20Work%20Render.jpg,https://www.fitt.com/it/product/fitt_ntswork/
FITT NTS Work Kit,FITT,"Tubo di colore arancio intenso ad alta visibilità, per passaggio acqua nei Cantieri Edili, Molto Robusto e Flessibile anche a temperature rigide, per un Uso Professionale ma anche per il Fai da Te intenso e robusto, con Pistola Multigetto e Raccordi, con Tecnologie NTS e SKY TECH.",https://fitt-cdn.thron.com/delivery/public/image/fitt/ba2b8fdc-4c99-4727-a478-964cd30c7513/pf4brg/std/1000x0/FITT%20NTS%20Work%20Render.jpg,https://www.fitt.com/it/product/fitt_ntswork_kit/
